dates,nzd0120-0000,nzd0120-0001,nzd0120-0002,nzd0120-0003,nzd0120-0004,nzd0120-0005,nzd0120-0006,nzd0120-0007,nzd0120-0008,nzd0120-0009,nzd0120-0010,nzd0120-0011,nzd0120-0012,nzd0120-0013,nzd0120-0014,nzd0120-0015,nzd0120-0016,nzd0120-0017,nzd0120-0018,nzd0120-0019,nzd0120-0020,nzd0120-0021,nzd0120-0022,nzd0120-0023,nzd0120-0024,nzd0120-0025,nzd0120-0026,nzd0120-0027,nzd0120-0028,nzd0120-0029,nzd0120-0030,nzd0120-0031,nzd0120-0032,satname
2007-03-18 21:56:09+00:00,360.19,365.52,364.67,358.25,352.51,352.45,366.40,385.28,388.77,396.58,397.48,396.53,394.01,388.95,381.23,381.15,372.93,374.08,375.05,389.37,406.83,396.31,393.18,403.22,403.40,408.11,400.01,383.42,405.52,388.28,396.99,410.89,399.55,L7
2007-09-10 21:55:27+00:00,335.94,341.02,,334.32,335.98,340.84,344.93,352.72,354.97,358.62,357.21,355.28,351.94,359.28,363.95,346.98,327.58,338.51,343.36,355.13,367.32,365.47,368.30,369.70,381.52,382.77,369.13,364.54,366.14,367.28,375.84,391.35,381.47,L7
2007-09-18 21:58:42+00:00,359.86,359.24,350.81,352.24,356.68,349.60,351.21,363.08,362.63,371.04,370.48,366.34,368.65,379.32,379.09,369.37,355.95,361.57,356.15,361.65,375.83,380.64,379.31,385.34,392.51,391.97,387.81,380.96,383.62,373.13,387.23,403.82,380.48,L5
2007-10-28 21:55:34+00:00,355.79,350.53,345.32,330.67,349.61,346.65,354.12,366.06,368.12,365.60,370.65,358.60,352.39,368.89,366.23,350.93,338.35,343.37,353.43,364.57,365.49,374.39,378.58,391.14,389.47,381.53,390.42,384.80,384.31,379.42,389.53,395.04,368.62,L7
2008-09-12 21:54:33+00:00,,,,373.62,374.67,357.55,354.47,354.17,368.82,363.94,373.02,373.18,374.99,370.30,369.65,375.25,374.49,366.11,364.89,365.64,367.01,377.49,373.53,372.55,385.54,384.87,376.54,368.87,363.04,357.33,365.58,377.35,369.99,L7
2008-12-17 21:55:09+00:00,374.85,372.21,367.73,361.77,361.79,361.79,366.03,374.01,373.94,385.58,391.59,386.11,383.01,377.76,382.17,366.58,371.52,388.32,388.10,387.18,381.08,377.80,381.12,396.99,406.09,399.96,398.27,390.06,388.84,380.76,384.59,393.98,,L7
2009-02-03 21:55:25+00:00,363.82,375.46,377.96,,381.90,378.90,389.70,389.10,385.82,393.63,389.14,386.27,377.01,373.06,365.28,,,384.75,384.72,388.31,382.28,391.19,392.25,403.48,403.54,399.12,384.17,382.55,384.00,377.58,389.81,397.70,378.40,L7
2009-02-11 21:51:25+00:00,368.32,376.86,366.46,363.90,365.61,353.67,358.37,370.05,364.53,381.28,383.42,364.62,365.06,370.41,368.44,369.24,368.47,381.50,375.96,383.34,381.35,385.43,384.34,390.05,403.09,397.82,400.93,398.92,382.13,381.48,390.16,394.33,384.92,L5
2009-03-23 21:55:51+00:00,366.01,378.84,376.26,361.78,360.05,368.47,365.41,379.19,385.96,390.89,387.38,385.09,379.45,366.57,369.16,379.11,385.22,385.22,383.10,388.75,394.58,391.96,393.92,403.37,402.33,391.36,383.61,375.68,395.74,382.84,386.05,399.15,387.47,L7
2009-05-10 21:56:03+00:00,355.71,348.66,342.88,339.27,339.25,339.23,343.52,360.99,364.96,,,,,351.76,355.16,361.96,363.42,368.13,,,,,,388.47,366.01,380.16,,361.24,,,,,,L7
