dates,satname,nzd0348-0000,nzd0348-0001,nzd0348-0002,nzd0348-0003,nzd0348-0004,nzd0348-0005,nzd0348-0006,nzd0348-0007,nzd0348-0008,nzd0348-0009,nzd0348-0010,nzd0348-0011,nzd0348-0012,nzd0348-0013,nzd0348-0014,nzd0348-0015,nzd0348-0016,nzd0348-0017,nzd0348-0018,nzd0348-0019,nzd0348-0020,nzd0348-0021,nzd0348-0022,nzd0348-0023,nzd0348-0024,nzd0348-0025,nzd0348-0026,nzd0348-0027,nzd0348-0028,nzd0348-0029,nzd0348-0030
2007-01-30 21:56:00+00:00,L5,410.22,385.86,375.98,378.88,385.41,393.66,394.45,377.16,379.44,389.65,378.64,377.44,370.84,373.98,373.01,373.59,367.91,361.98,364.03,370.78,377.11,365.95,338.27,326.04,320.59,329.62,344.15,345.31,334.33,328.90,349.19
2007-02-08 21:49:50+00:00,L5,363.55,352.48,349.00,347.54,351.91,364.79,359.70,356.11,354.63,351.73,352.68,348.92,348.63,348.43,346.70,341.76,338.31,344.56,348.40,350.29,354.01,345.38,323.64,310.62,304.81,306.58,314.09,327.91,324.15,305.62,307.52
2007-05-30 21:51:18+00:00,L7,391.74,379.41,376.05,381.99,391.12,401.34,392.85,386.74,380.30,380.25,,,366.97,365.40,357.13,353.71,352.45,361.44,366.56,370.79,381.85,360.84,335.35,323.97,320.72,,,331.55,329.61,321.33,338.57
2007-10-05 21:50:42+00:00,L7,378.49,,,,368.92,372.42,371.61,364.11,365.44,359.51,363.84,367.38,361.46,361.26,361.36,358.35,354.71,,,364.83,364.09,355.36,330.51,316.68,314.82,315.88,322.90,334.65,327.41,319.09,327.93
2007-11-06 21:51:05+00:00,L7,386.60,378.08,372.10,372.24,,,,373.60,376.81,374.46,375.68,372.98,373.48,371.27,368.75,364.45,360.75,364.80,370.26,,,,332.26,321.52,318.62,318.03,334.33,340.98,327.50,320.85,342.49
2007-11-22 21:51:13+00:00,L7,,,,,379.10,388.92,384.06,383.08,384.37,382.93,391.87,381.99,380.53,374.16,373.30,372.78,366.84,,,372.13,374.07,360.32,344.36,327.51,320.31,322.55,342.33,349.98,332.48,328.55,354.70
2008-01-25 21:51:23+00:00,L7,376.62,,,,369.07,377.50,372.34,362.62,361.17,359.57,363.49,362.16,358.72,354.42,354.20,352.32,353.87,,,358.59,362.44,355.07,329.33,314.84,308.36,310.17,315.74,327.05,321.33,317.12,327.67
2008-02-26 21:51:16+00:00,L7,362.28,363.02,355.12,355.45,,,,344.90,346.54,348.68,349.25,342.91,340.61,347.50,346.96,348.42,347.78,349.52,353.13,351.43,,,322.16,309.23,303.78,306.71,311.85,319.64,318.16,319.03,325.68
2008-03-13 21:51:11+00:00,L7,,333.94,334.89,337.29,333.60,352.27,349.35,338.39,339.61,344.99,346.29,342.91,342.99,341.19,342.02,,,341.95,348.60,348.13,352.46,338.85,318.47,305.18,301.71,301.30,308.01,316.63,313.45,301.16,
2008-05-16 21:51:02+00:00,L7,,379.30,374.06,374.58,378.28,384.77,373.71,362.29,359.42,372.24,372.20,361.85,365.13,366.86,363.11,,,368.11,368.17,360.79,366.54,360.91,332.67,318.46,308.07,314.93,333.59,342.53,329.17,321.94,
